os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw,memory_mb,cpu_time,execution_time,task_with_size
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1942,0,0.169137954711914,0.0498479999999999,0.046858,16408,8134,0,672,0,393,4,16.0234375,0.0967059999999999,0.169137954711914,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1956,0,0.1498682498931884,0.041698,0.059868,16460,8132,0,0,0,363,0,16.07421875,0.10156599999999999,0.1498682498931884,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1970,0,0.1608407497406005,0.0573459999999999,0.0462119999999999,16252,8143,0,0,0,377,4,15.87109375,0.10355799999999979,0.1608407497406005,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1984,0,0.1587038040161132,0.0267519999999999,0.075719,16404,8132,0,0,0,346,5,16.01953125,0.1024709999999999,0.1587038040161132,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1998,0,0.1431384086608886,0.040097,0.051833,16532,8144,0,0,0,360,6,16.14453125,0.09193,0.1431384086608886,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2012,0,0.1412618160247802,0.0488609999999999,0.050487,16380,8133,0,0,0,361,4,15.99609375,0.0993479999999999,0.1412618160247802,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2026,0,0.1522450447082519,0.0247079999999999,0.066519,16532,8151,0,0,0,370,3,16.14453125,0.09122699999999989,0.1522450447082519,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2040,0,0.1438241004943847,0.039469,0.054237,16280,8146,0,0,0,383,0,15.8984375,0.093706,0.1438241004943847,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2054,0,0.1484158039093017,0.043835,0.0513389999999999,16512,8149,0,0,0,375,0,16.125,0.0951739999999999,0.1484158039093017,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2068,0,0.1470811367034912,0.0499579999999999,0.043446,16272,8139,0,0,0,368,1,15.890625,0.0934039999999999,0.1470811367034912,binarytrees-7
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2082,0,18.768964290618896,82.792413,11.007405,276520,1318504,0,0,0,1065,839,270.0390625,93.799818,18.768964290618896,binarytrees-21
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2097,0,17.333863019943237,85.597516,8.721839,276544,1318505,0,0,0,1098,597,270.0625,94.319355,17.333863019943237,binarytrees-21
