os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw,memory_mb,cpu_time,execution_time
Ubuntu Server 24.04.3,C,binarytrees,7,1830,0,0.0060229301452636,0.0036869999999999,0.0,10496,137,4,0,0,19,0,10.25,0.0036869999999999,0.0060229301452636
Ubuntu Server 24.04.3,C,binarytrees,7,1835,0,0.0049021244049072,0.003404,0.0,10496,142,0,0,0,14,0,10.25,0.003404,0.0049021244049072
Ubuntu Server 24.04.3,C,binarytrees,7,1840,0,0.004976749420166,0.003433,0.0,10496,138,0,0,0,14,0,10.25,0.003433,0.004976749420166
Ubuntu Server 24.04.3,C,binarytrees,7,1845,0,0.0049080848693847,0.0034639999999999,0.0,10496,140,0,0,0,13,0,10.25,0.0034639999999999,0.0049080848693847
Ubuntu Server 24.04.3,C,binarytrees,7,1850,0,0.0052943229675292,0.002103,0.001583,10368,141,0,0,0,13,0,10.125,0.003686,0.0052943229675292
Ubuntu Server 24.04.3,C,binarytrees,7,1855,0,0.0049943923950195,0.0034509999999999,0.0,10496,139,0,0,0,14,0,10.25,0.0034509999999999,0.0049943923950195
Ubuntu Server 24.04.3,C,binarytrees,7,1860,0,0.0059247016906738,0.001488,0.00281,10496,139,0,0,0,13,0,10.25,0.004298,0.0059247016906738
Ubuntu Server 24.04.3,C,binarytrees,7,1865,0,0.0056767463684082,0.002238,0.001671,10496,140,0,0,0,13,0,10.25,0.003909,0.0056767463684082
Ubuntu Server 24.04.3,C,binarytrees,7,1870,0,0.005049705505371,0.0014249999999999,0.0020239999999999,10496,140,0,0,0,13,0,10.25,0.0034489999999998003,0.005049705505371
Ubuntu Server 24.04.3,C,binarytrees,7,1875,0,0.0049145221710205,0.003433,0.0,10496,139,0,0,0,14,0,10.25,0.003433,0.0049145221710205
Ubuntu Server 24.04.3,C,binarytrees,21,1880,0,6.547848463058472,19.553321,0.7907489999999999,351360,87539,0,0,0,40,48,343.125,20.344070000000002,6.547848463058472
Ubuntu Server 24.04.3,C,binarytrees,21,1892,0,6.187456846237183,15.11579,4.182231,351232,87540,0,0,0,32,22,343.0,19.298021,6.187456846237183
Ubuntu Server 24.04.3,C,binarytrees,21,1904,0,6.7333409786224365,18.788351,0.461345,351360,87538,0,0,0,27,59,343.125,19.249696,6.7333409786224365
Ubuntu Server 24.04.3,C,binarytrees,21,1916,0,7.610459089279175,17.170232,1.512289,351360,87538,0,0,0,28,16,343.125,18.682520999999998,7.610459089279175
Ubuntu Server 24.04.3,C,binarytrees,21,1928,0,6.350391864776611,19.988461,0.3652189999999999,351232,87538,0,0,0,31,70,343.0,20.35368,6.350391864776611
Ubuntu Server 24.04.3,C,binarytrees,21,1940,0,6.00621223449707,18.262135,1.1533,351104,87537,0,0,0,42,20,342.875,19.415435000000002,6.00621223449707
Ubuntu Server 24.04.3,C,binarytrees,21,1952,0,6.203980445861816,19.153257,0.349303,351360,87538,0,0,0,35,83,343.125,19.50256,6.203980445861816
Ubuntu Server 24.04.3,C,binarytrees,21,1964,0,6.334372997283936,16.220871,2.70322,351360,87535,0,0,0,41,10,343.125,18.924090999999997,6.334372997283936
Ubuntu Server 24.04.3,C,binarytrees,21,1976,0,6.733264923095703,20.021462,0.4693549999999999,351232,87538,0,0,0,24,47,343.0,20.490817,6.733264923095703
Ubuntu Server 24.04.3,C,binarytrees,21,1988,0,6.997581243515015,16.917358,2.360372,351360,87538,0,0,0,33,30,343.125,19.27773,6.997581243515015
Ubuntu Server 24.04.3,C,fannkuchredux,10,2006,0,0.1915574073791504,0.181779,0.0072099999999999,10496,124,3,0,0,16,0,10.25,0.1889889999999999,0.1915574073791504
Ubuntu Server 24.04.3,C,fannkuchredux,10,2009,0,0.1922392845153808,0.182662,0.0072029999999999,10496,128,0,0,0,12,0,10.25,0.1898649999999999,0.1922392845153808
Ubuntu Server 24.04.3,C,fannkuchredux,10,2012,0,0.1873888969421386,0.185353,0.0,10496,127,0,0,0,12,0,10.25,0.185353,0.1873888969421386
Ubuntu Server 24.04.3,C,fannkuchredux,10,2015,0,0.1919751167297363,0.1789899999999999,0.0107549999999999,10496,127,0,0,0,12,0,10.25,0.1897449999999998,0.1919751167297363
Ubuntu Server 24.04.3,C,fannkuchredux,10,2018,0,0.1908984184265136,0.183032,0.005664,10496,127,0,0,0,11,0,10.25,0.188696,0.1908984184265136
Ubuntu Server 24.04.3,C,fannkuchredux,10,2021,0,0.189265489578247,0.180771,0.006403,10496,128,0,0,0,12,1,10.25,0.18717399999999998,0.189265489578247
Ubuntu Server 24.04.3,C,fannkuchredux,10,2024,0,0.1940462589263916,0.1892029999999999,0.002607,10496,129,0,0,0,12,0,10.25,0.1918099999999999,0.1940462589263916
Ubuntu Server 24.04.3,C,fannkuchredux,10,2030,0,0.1903066635131836,0.1821279999999999,0.005817,10496,125,0,0,0,12,2,10.25,0.1879449999999999,0.1903066635131836
Ubuntu Server 24.04.3,C,fannkuchredux,10,2033,0,0.1941390037536621,0.1862919999999999,0.004984,10496,126,0,0,0,12,1,10.25,0.1912759999999999,0.1941390037536621
Ubuntu Server 24.04.3,C,fannkuchredux,10,2036,0,0.1899459362030029,0.187559,0.0,10496,127,0,0,0,12,0,10.25,0.187559,0.1899459362030029
Ubuntu Server 24.04.3,C,fannkuchredux,12,2039,0,28.75493669509888,28.701319,0.044211,10496,127,0,0,0,12,51,10.25,28.745530000000002,28.75493669509888
Ubuntu Server 24.04.3,C,fannkuchredux,12,2042,0,28.72493839263916,28.698969,0.02315,10496,127,0,0,0,10,55,10.25,28.722119000000003,28.72493839263916
Ubuntu Server 24.04.3,C,fannkuchredux,12,2045,0,28.46851253509521,28.169909,0.296508,10496,127,0,0,0,11,25,10.25,28.466417,28.46851253509521
Ubuntu Server 24.04.3,C,fannkuchredux,12,2048,0,28.468576669692997,28.01193,0.4542219999999999,10496,127,0,0,0,12,24,10.25,28.466152,28.468576669692997
Ubuntu Server 24.04.3,C,fannkuchredux,12,2051,0,28.820251941680908,28.801542,0.0160909999999999,10496,128,0,0,0,11,59,10.25,28.817633,28.820251941680908
Ubuntu Server 24.04.3,C,fannkuchredux,12,2056,0,28.972368478775024,28.939676,0.029363,10496,128,0,0,0,11,59,10.25,28.969039,28.972368478775024
Ubuntu Server 24.04.3,C,fannkuchredux,12,2059,0,29.047719955444336,29.036577,0.002582,10496,126,0,0,0,12,28,10.25,29.039159,29.047719955444336
Ubuntu Server 24.04.3,C,fannkuchredux,12,2062,0,28.67038655281067,28.545355,0.121462,10496,128,0,0,0,12,21,10.25,28.666817,28.67038655281067
Ubuntu Server 24.04.3,C,fannkuchredux,12,2066,0,29.862611055374146,29.776031,0.082975,10496,128,0,0,0,11,72,10.25,29.859006,29.862611055374146
Ubuntu Server 24.04.3,C,fannkuchredux,12,2070,0,28.84568333625793,27.532071,1.310957,10496,129,0,0,0,11,5,10.25,28.843027999999997,28.84568333625793
Ubuntu Server 24.04.3,C,fasta,250000,2079,0,0.0618205070495605,0.0367969999999999,0.02251,10496,121,3,0,0,14,0,10.25,0.0593069999999999,0.0618205070495605
Ubuntu Server 24.04.3,C,fasta,250000,2082,0,0.0841546058654785,0.0580549999999999,0.022979,10496,125,0,0,0,12,1,10.25,0.0810339999999999,0.0841546058654785
Ubuntu Server 24.04.3,C,fasta,250000,2085,0,0.0725181102752685,0.0556399999999999,0.0127879999999999,10496,125,0,0,0,12,0,10.25,0.0684279999999998,0.0725181102752685
