os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Ubuntu Desktop 24.04.3,C,binarytrees,7,4462,0,0.010621070861816406,0.001702,0.0024779999999999997,9532,138,4,0,0,19,0
Ubuntu Desktop 24.04.3,C,binarytrees,7,4467,0,0.0067064762115478516,0.0,0.005155,9336,142,0,0,0,15,0
Ubuntu Desktop 24.04.3,C,binarytrees,7,4472,0,0.006268024444580078,0.0,0.004899,9532,139,0,0,0,13,0
Ubuntu Desktop 24.04.3,C,binarytrees,7,4477,0,0.02436542510986328,0.002074,0.014357,9520,141,0,0,0,13,0
Ubuntu Desktop 24.04.3,C,binarytrees,7,4482,0,0.0069959163665771484,0.002894,0.002894,9524,139,0,0,0,13,0
Ubuntu Desktop 24.04.3,C,binarytrees,7,4487,0,0.006060123443603516,0.0,0.004301,9528,141,0,0,0,13,0
Ubuntu Desktop 24.04.3,C,binarytrees,7,4492,0,0.006571769714355469,0.0017419999999999998,0.0045639999999999995,9524,140,0,0,0,12,0
Ubuntu Desktop 24.04.3,C,binarytrees,7,4497,0,0.0060138702392578125,0.002672,0.0017679999999999998,9508,143,0,0,0,13,0
Ubuntu Desktop 24.04.3,C,binarytrees,7,4502,0,0.005824565887451172,0.001741,0.002516,9568,140,0,0,0,13,0
Ubuntu Desktop 24.04.3,C,binarytrees,7,4507,0,0.006097078323364258,0.000823,0.003574,9532,142,0,0,0,16,0
Ubuntu Desktop 24.04.3,C,binarytrees,21,4512,0,6.655166387557983,21.273672,0.5646909999999999,351352,87538,0,0,0,28,50
Ubuntu Desktop 24.04.3,C,binarytrees,21,4524,0,7.195898056030273,19.202087,0.45692,351224,87538,0,0,0,46,62
Ubuntu Desktop 24.04.3,C,binarytrees,21,4536,0,6.061643838882446,14.666836,5.005699,351352,87538,0,0,0,54,77
Ubuntu Desktop 24.04.3,C,binarytrees,21,4548,0,6.171289920806885,19.739827,0.363494,351224,87538,0,0,0,30,57
Ubuntu Desktop 24.04.3,C,binarytrees,21,4560,0,6.6973960399627686,20.338552,0.481911,351352,87538,0,0,0,33,191
Ubuntu Desktop 24.04.3,C,binarytrees,21,4578,0,6.214600563049316,19.517854,0.14824099999999998,351352,87539,0,0,0,37,44
Ubuntu Desktop 24.04.3,C,binarytrees,21,4590,0,6.1594932079315186,18.485258,0.599174,351352,87536,0,0,0,27,17
Ubuntu Desktop 24.04.3,C,binarytrees,21,4609,0,6.241470813751221,18.467883,3.753734,351224,87538,0,0,0,39,78
Ubuntu Desktop 24.04.3,C,binarytrees,21,4621,0,6.293569803237915,19.291153,0.789736,351348,87539,0,0,0,22,198
Ubuntu Desktop 24.04.3,C,binarytrees,21,4633,0,6.659605979919434,18.968973,0.476827,351352,87536,0,0,0,24,36
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4651,0,0.19168853759765625,0.183223,0.0056689999999999996,9524,125,3,0,0,15,1
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4654,0,0.19467902183532715,0.189549,0.00293,9532,126,0,0,0,12,0
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4657,0,0.1917281150817871,0.18762299999999998,0.002,9324,126,0,0,0,12,1
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4660,0,0.19163894653320312,0.18659799999999999,0.0027979999999999997,9532,127,0,0,0,11,1
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4663,0,0.19745969772338867,0.180274,0.014837,9528,126,0,0,0,11,1
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4666,0,0.1912524700164795,0.17612,0.013039,9536,126,0,0,0,12,2
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4669,0,0.1913909912109375,0.18928299999999998,0.0,9516,127,0,0,0,12,0
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4672,0,0.19672274589538574,0.17820999999999998,0.017192,9532,128,0,0,0,11,0
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4675,0,0.19160819053649902,0.18923199999999998,0.0,9564,126,0,0,0,12,0
Ubuntu Desktop 24.04.3,C,fannkuchredux,10,4678,0,0.19374799728393555,0.185916,0.005626,9528,128,0,0,0,12,1
Ubuntu Desktop 24.04.3,C,fannkuchredux,12,4681,0,29.045991897583008,29.032507,0.011371,9532,129,0,0,0,12,21
Ubuntu Desktop 24.04.3,C,fannkuchredux,12,4687,0,28.843038082122803,28.687629,0.15312699999999999,9564,127,0,0,0,12,25
Ubuntu Desktop 24.04.3,C,fannkuchredux,12,4690,0,28.861929416656494,28.805073,0.054932999999999996,9568,126,0,0,0,12,30
Ubuntu Desktop 24.04.3,C,fannkuchredux,12,4693,0,28.526020765304565,28.524538,0.0,9532,126,0,0,0,12,0
Ubuntu Desktop 24.04.3,C,fannkuchredux,12,4696,0,28.969568729400635,28.945044,0.022375,9488,127,0,0,0,12,13
Ubuntu Desktop 24.04.3,C,fannkuchredux,12,4699,0,28.740748405456543,28.685707999999998,0.053474,9532,127,0,0,0,12,16
