os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,1795,0,0.11363077163696289,0.056329,0.062353,50344,5801,0,0,0,278,6
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,1820,0,0.09902620315551758,0.054397,0.059025999999999995,50688,5847,0,0,0,285,5
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,1845,0,0.09223437309265137,0.044971,0.061967999999999995,50460,5802,0,0,0,282,2
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,1870,0,0.1001882553100586,0.037704999999999995,0.070755,50504,5819,0,0,0,282,2
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,1895,0,0.09448385238647461,0.054508999999999995,0.060599,51064,5885,0,0,0,272,5
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,1920,0,0.09455752372741699,0.04593,0.056755,50952,5925,0,0,0,288,5
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,1945,0,0.09461164474487305,0.056373,0.045942,50308,5811,0,0,0,273,4
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,1970,0,0.09440827369689941,0.055250999999999995,0.048919,50764,5888,0,0,0,283,6
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,1995,0,0.08915591239929199,0.036078,0.064958,50400,5800,0,0,0,289,6
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,7,2020,0,0.09510207176208496,0.052716,0.056237999999999996,50760,5825,0,0,0,287,7
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,21,2045,0,3.2280173301696777,9.967306,5.516469,1488708,15452,0,0,0,3008,345
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,21,2084,0,2.707746982574463,9.205225,4.676573,1444032,12936,0,0,0,2498,566
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,21,2123,0,2.7924704551696777,9.467137,4.905578,1471460,13178,0,0,0,2582,732
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,21,2162,0,2.840475082397461,11.520016,3.39173,1525472,13581,0,0,0,2368,561
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,21,2201,0,3.077609062194824,9.713551,5.072698,1566512,13449,0,0,0,2594,603
Manjaro GNOME 25.0.10 Minimal,Java,binarytrees,21,2241,0,2.6676414012908936,9.662082999999999,4.601426,1472636,14073,0,0,0,2443,519
