os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Manjaro GNOME 25.0.10,Java,binarytrees,7,3024,0,0.10647320747375488,0.058144999999999995,0.053797,50476,5805,0,0,0,272,9
Manjaro GNOME 25.0.10,Java,binarytrees,7,3049,0,0.09637451171875,0.060313,0.046196999999999995,50856,5823,0,0,0,280,9
Manjaro GNOME 25.0.10,Java,binarytrees,7,3074,0,0.10235452651977539,0.06544799999999999,0.040458999999999995,50216,5812,0,0,0,284,9
Manjaro GNOME 25.0.10,Java,binarytrees,7,3099,0,0.09208154678344727,0.059525999999999996,0.045963,50460,5805,0,0,0,266,5
Manjaro GNOME 25.0.10,Java,binarytrees,7,3124,0,0.09239578247070312,0.049056999999999996,0.054182999999999995,50472,5808,0,0,0,274,4
Manjaro GNOME 25.0.10,Java,binarytrees,7,3149,0,0.09261012077331543,0.053371999999999996,0.052037,50656,5786,0,0,0,294,6
Manjaro GNOME 25.0.10,Java,binarytrees,7,3174,0,0.0991508960723877,0.053674,0.05295,50740,5877,0,0,0,296,4
Manjaro GNOME 25.0.10,Java,binarytrees,7,3199,0,0.09491467475891113,0.043008,0.069474,51036,5903,0,0,0,278,8
Manjaro GNOME 25.0.10,Java,binarytrees,7,3224,0,0.09484386444091797,0.055728,0.048149,50540,5806,0,0,0,289,7
Manjaro GNOME 25.0.10,Java,binarytrees,7,3249,0,0.08921337127685547,0.048421,0.051089999999999997,50836,5934,0,0,0,290,3
Manjaro GNOME 25.0.10,Java,binarytrees,21,3274,0,3.338322162628174,10.490811,6.131353,1493636,13219,0,0,0,2811,332
Manjaro GNOME 25.0.10,Java,binarytrees,21,3314,0,2.5475337505340576,8.783838,4.288157,1448224,12429,0,0,0,2405,526
Manjaro GNOME 25.0.10,Java,binarytrees,21,3353,0,2.5673348903656006,9.053577,4.167121,1487720,13669,0,0,0,2501,556
Manjaro GNOME 25.0.10,Java,binarytrees,21,3392,0,2.41803240776062,9.059161,3.428239,1432404,13634,0,0,0,2486,430
Manjaro GNOME 25.0.10,Java,binarytrees,21,3431,0,2.3515241146087646,8.755966,3.523163,1434260,13054,0,0,0,2350,558
Manjaro GNOME 25.0.10,Java,binarytrees,21,3470,0,2.3848586082458496,8.502363,4.129589,1485564,13220,0,0,0,2442,290
Manjaro GNOME 25.0.10,Java,binarytrees,21,3509,0,2.463916063308716,9.436812,3.497086,1466764,12045,0,0,0,2307,535
Manjaro GNOME 25.0.10,Java,binarytrees,21,3548,0,2.5927574634552,8.595434000000001,4.495678,1536688,14215,0,0,0,2382,547
Manjaro GNOME 25.0.10,Java,binarytrees,21,3587,0,2.4263312816619873,8.829805,3.8973240000000002,1542896,12718,0,0,0,2301,436
Manjaro GNOME 25.0.10,Java,binarytrees,21,3626,0,2.4584953784942627,8.901679,3.633829,1444804,13199,0,0,0,2413,505
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3692,0,0.30320310592651367,0.27133799999999997,0.026195,46340,5657,0,0,0,209,13
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3715,0,0.26961827278137207,0.251732,0.043886,46764,5652,0,0,0,206,8
