os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Ubuntu Desktop 24.04.3,Java,binarytrees,7,2852,0,0.10526561737060547,0.057231,0.066375,47260,5942,0,0,64,269,1
Ubuntu Desktop 24.04.3,Java,binarytrees,7,2877,0,0.09729695320129395,0.057366,0.057913,47256,6021,0,0,64,272,4
Ubuntu Desktop 24.04.3,Java,binarytrees,7,2902,0,0.10837316513061523,0.078844,0.069044,47328,6064,0,0,64,256,2
Ubuntu Desktop 24.04.3,Java,binarytrees,7,2927,0,0.0924384593963623,0.06350399999999999,0.05568,47344,6006,0,0,64,253,1
Ubuntu Desktop 24.04.3,Java,binarytrees,7,2952,0,0.09194421768188477,0.069584,0.050564,46996,5939,0,0,64,265,0
Ubuntu Desktop 24.04.3,Java,binarytrees,7,2977,0,0.09984087944030762,0.073872,0.048498,47376,6007,0,0,64,262,1
Ubuntu Desktop 24.04.3,Java,binarytrees,7,3002,0,0.10460901260375977,0.086466,0.049495,47128,5995,0,0,64,266,1
Ubuntu Desktop 24.04.3,Java,binarytrees,7,3027,0,0.0959768295288086,0.04559,0.07104099999999999,47348,6053,0,0,64,267,1
Ubuntu Desktop 24.04.3,Java,binarytrees,7,3052,0,0.09652471542358398,0.075573,0.047375999999999995,47148,5942,0,0,64,253,3
Ubuntu Desktop 24.04.3,Java,binarytrees,7,3077,0,0.1004030704498291,0.056354999999999995,0.069447,46888,5935,0,0,64,270,0
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3102,0,3.288433074951172,10.201937,6.815238,1433104,362478,0,0,64,2711,267
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3141,0,2.7435543537139893,10.082704,3.978325,1329620,364297,0,0,64,2883,363
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3180,0,2.7863166332244873,10.315202,3.727715,1277208,342506,0,0,64,2871,313
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3219,0,2.6730568408966064,9.865586,4.014697,1188480,360370,0,0,64,2843,340
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3258,0,2.6007840633392334,9.458034,3.468433,1419216,349406,0,0,64,2777,227
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3297,0,2.721888780593872,9.069662,4.495308,1469336,361939,0,0,64,2831,259
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3336,0,2.645803213119507,9.756531,3.565735,1327852,335198,0,0,64,2789,312
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3375,0,2.743058681488037,9.679574,3.799779,1416476,348683,0,0,64,2552,310
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3414,0,2.5886826515197754,9.028993,4.072635,1372608,337664,0,0,64,2724,283
Ubuntu Desktop 24.04.3,Java,binarytrees,21,3453,0,2.6987199783325195,10.513508,3.434308,1495356,368413,0,0,64,2760,253
Ubuntu Desktop 24.04.3,Java,fannkuchredux,10,3520,0,0.28385066986083984,0.23027499999999998,0.09636,44772,5606,0,0,64,196,0
Ubuntu Desktop 24.04.3,Java,fannkuchredux,10,3543,0,0.299776554107666,0.28035499999999997,0.053728,44940,5608,0,0,64,192,4
Ubuntu Desktop 24.04.3,Java,fannkuchredux,10,3566,0,0.290238618850708,0.263252,0.069616,44648,5575,0,0,64,184,3
Ubuntu Desktop 24.04.3,Java,fannkuchredux,10,3589,0,0.2849915027618408,0.262305,0.058239,44580,5601,0,0,64,183,2
Ubuntu Desktop 24.04.3,Java,fannkuchredux,10,3612,0,0.26140570640563965,0.246272,0.077916,44936,5641,0,0,64,197,1
