os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Manjaro GNOME 25.0.10,Java,binarytrees,7,3024,0,0.1064732074737548,0.0581449999999999,0.053797,50476,5805,0,0,0,272,9
Manjaro GNOME 25.0.10,Java,binarytrees,7,3049,0,0.09637451171875,0.060313,0.0461969999999999,50856,5823,0,0,0,280,9
Manjaro GNOME 25.0.10,Java,binarytrees,7,3074,0,0.1023545265197753,0.0654479999999999,0.0404589999999999,50216,5812,0,0,0,284,9
Manjaro GNOME 25.0.10,Java,binarytrees,7,3099,0,0.0920815467834472,0.0595259999999999,0.045963,50460,5805,0,0,0,266,5
Manjaro GNOME 25.0.10,Java,binarytrees,7,3124,0,0.0923957824707031,0.0490569999999999,0.0541829999999999,50472,5808,0,0,0,274,4
Manjaro GNOME 25.0.10,Java,binarytrees,7,3149,0,0.0926101207733154,0.0533719999999999,0.052037,50656,5786,0,0,0,294,6
Manjaro GNOME 25.0.10,Java,binarytrees,7,3174,0,0.0991508960723877,0.053674,0.05295,50740,5877,0,0,0,296,4
Manjaro GNOME 25.0.10,Java,binarytrees,7,3199,0,0.0949146747589111,0.043008,0.069474,51036,5903,0,0,0,278,8
Manjaro GNOME 25.0.10,Java,binarytrees,7,3224,0,0.0948438644409179,0.055728,0.048149,50540,5806,0,0,0,289,7
Manjaro GNOME 25.0.10,Java,binarytrees,7,3249,0,0.0892133712768554,0.048421,0.0510899999999999,50836,5934,0,0,0,290,3
Manjaro GNOME 25.0.10,Java,binarytrees,21,3274,0,3.338322162628174,10.490811,6.131353,1493636,13219,0,0,0,2811,332
Manjaro GNOME 25.0.10,Java,binarytrees,21,3314,0,2.5475337505340576,8.783838,4.288157,1448224,12429,0,0,0,2405,526
Manjaro GNOME 25.0.10,Java,binarytrees,21,3353,0,2.5673348903656006,9.053577,4.167121,1487720,13669,0,0,0,2501,556
Manjaro GNOME 25.0.10,Java,binarytrees,21,3392,0,2.41803240776062,9.059161,3.428239,1432404,13634,0,0,0,2486,430
Manjaro GNOME 25.0.10,Java,binarytrees,21,3431,0,2.3515241146087646,8.755966,3.523163,1434260,13054,0,0,0,2350,558
Manjaro GNOME 25.0.10,Java,binarytrees,21,3470,0,2.3848586082458496,8.502363,4.129589,1485564,13220,0,0,0,2442,290
Manjaro GNOME 25.0.10,Java,binarytrees,21,3509,0,2.463916063308716,9.436812,3.497086,1466764,12045,0,0,0,2307,535
Manjaro GNOME 25.0.10,Java,binarytrees,21,3548,0,2.5927574634552,8.595434000000001,4.495678,1536688,14215,0,0,0,2382,547
Manjaro GNOME 25.0.10,Java,binarytrees,21,3587,0,2.4263312816619877,8.829805,3.897324,1542896,12718,0,0,0,2301,436
Manjaro GNOME 25.0.10,Java,binarytrees,21,3626,0,2.4584953784942627,8.901679,3.633829,1444804,13199,0,0,0,2413,505
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3692,0,0.3032031059265136,0.2713379999999999,0.026195,46340,5657,0,0,0,209,13
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3715,0,0.269618272781372,0.251732,0.043886,46764,5652,0,0,0,206,8
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3738,0,0.2457015514373779,0.210582,0.0514019999999999,46672,5639,0,0,0,202,6
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3761,0,0.2449440956115722,0.131016,0.134382,46440,5647,0,0,0,209,2
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3784,0,0.2683627605438232,0.238561,0.050926,46444,5672,0,0,0,206,6
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3807,0,0.2456343173980713,0.210082,0.0589089999999999,46336,5654,0,0,0,203,6
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3830,0,0.2598521709442138,0.1682209999999999,0.1145399999999999,46692,5737,0,0,0,193,2
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3853,0,0.2488348484039306,0.23789,0.039154,46420,5658,0,0,0,201,6
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3876,0,0.2755184173583984,0.2600409999999999,0.039126,46536,5680,0,0,0,204,4
Manjaro GNOME 25.0.10,Java,fannkuchredux,10,3899,0,0.2809956073760986,0.259872,0.04367,46556,5675,0,0,0,210,9
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,3922,0,25.08366680145264,25.057123,0.0533369999999999,46616,5677,0,0,0,364,23
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,3945,0,24.7779393196106,24.776176,0.0307479999999999,46764,5735,0,0,0,359,25
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,3969,0,30.132240772247314,30.070663,0.08156,45688,5680,0,0,0,395,312
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,3992,0,30.385603666305546,30.326461,0.08435,45436,5695,0,0,0,397,28
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,4015,0,30.250991106033325,30.175547,0.094327,45540,5714,0,0,0,378,189
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,4041,0,30.302021265029907,30.264911,0.067936,45804,5688,0,0,0,396,23
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,4065,0,29.494668006896973,29.416454,0.099951,46424,5514,0,0,0,384,385
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,4088,0,30.26626658439636,30.229421,0.084585,47116,5735,0,0,0,400,369
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,4111,0,30.305209398269653,30.248128,0.096366,45612,5690,0,0,0,403,90
Manjaro GNOME 25.0.10,Java,fannkuchredux,12,4134,0,30.3717041015625,30.349058,0.0809879999999999,47008,5785,0,0,0,393,78
Manjaro GNOME 25.0.10,Java,fasta,250000,4186,0,0.2007946968078613,0.359425,0.118767,73140,11323,0,0,0,267,24
Manjaro GNOME 25.0.10,Java,fasta,250000,4211,0,0.1835865974426269,0.2660639999999999,0.137369,70812,10737,0,0,0,292,10
