os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Manjaro GNOME 25.0.10,C,binarytrees,7,2310,0,0.010278701782226562,0.0,0.007226,10440,337,4,0,0,19,0
Manjaro GNOME 25.0.10,C,binarytrees,7,2315,0,0.012186765670776367,0.002627,0.005079,10544,335,0,0,0,18,0
Manjaro GNOME 25.0.10,C,binarytrees,7,2320,0,0.011018514633178711,0.0038429999999999996,0.0026669999999999997,10440,335,0,0,0,18,0
Manjaro GNOME 25.0.10,C,binarytrees,7,2325,0,0.010008811950683594,0.002521,0.004999,10440,339,0,0,0,16,0
Manjaro GNOME 25.0.10,C,binarytrees,7,2330,0,0.01146554946899414,0.004125,0.002657,10440,340,0,0,0,19,0
Manjaro GNOME 25.0.10,C,binarytrees,7,2335,0,0.01125192642211914,0.008031,0.0,10432,338,0,0,0,17,0
Manjaro GNOME 25.0.10,C,binarytrees,7,2340,0,0.012328624725341797,0.0,0.007134,10564,339,0,0,0,16,0
Manjaro GNOME 25.0.10,C,binarytrees,7,2345,0,0.01037287712097168,0.002508,0.004809,10564,336,0,0,0,18,0
Manjaro GNOME 25.0.10,C,binarytrees,7,2350,0,0.021919965744018555,0.007539,0.005915,10688,333,0,0,0,16,0
Manjaro GNOME 25.0.10,C,binarytrees,7,2355,0,0.010121583938598633,0.002601,0.004452,10440,339,0,0,0,17,0
Manjaro GNOME 25.0.10,C,binarytrees,21,2360,0,5.478881120681763,16.200308,1.275278,351228,87734,0,0,0,42,251
Manjaro GNOME 25.0.10,C,binarytrees,21,2372,0,5.476213455200195,16.024934,1.3880409999999999,351356,87738,0,0,0,22,382
Manjaro GNOME 25.0.10,C,binarytrees,21,2384,0,5.418409824371338,15.558533,1.951197,351228,87736,0,0,0,29,262
Manjaro GNOME 25.0.10,C,binarytrees,21,2396,0,5.60659122467041,17.362151,1.987242,351292,87735,0,0,0,30,151
Manjaro GNOME 25.0.10,C,binarytrees,21,2408,0,5.7686927318573,16.886745,1.414335,351100,87736,0,0,0,32,363
Manjaro GNOME 25.0.10,C,binarytrees,21,2420,0,5.629168272018433,18.399088,1.412869,351292,87737,0,0,0,29,291
Manjaro GNOME 25.0.10,C,binarytrees,21,2432,0,5.779773235321045,18.506153,1.426685,351292,87737,0,0,0,25,595
Manjaro GNOME 25.0.10,C,binarytrees,21,2444,0,6.133410930633545,17.586608,1.915412,351228,87735,0,0,0,27,116
Manjaro GNOME 25.0.10,C,binarytrees,21,2456,0,6.313671112060547,18.486867,1.600293,351100,87736,0,0,0,37,54
Manjaro GNOME 25.0.10,C,binarytrees,21,2468,0,5.702134132385254,18.887464,1.441072,351100,87736,0,0,0,39,316
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2485,0,0.2100086212158203,0.202007,0.0037359999999999997,10440,324,3,0,0,20,1
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2488,0,0.2194209098815918,0.20807099999999998,0.003541,10568,330,0,0,0,15,4
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2491,0,0.21672439575195312,0.20687799999999998,0.004301999999999999,10568,324,0,0,0,15,3
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2494,0,0.20131850242614746,0.147221,0.050503,10436,329,0,0,0,15,1
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2497,0,0.20146465301513672,0.19444599999999998,0.003361,10568,326,0,0,0,16,12
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2500,0,0.206343412399292,0.06509,0.136883,10692,326,0,0,0,15,0
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2503,0,0.20240497589111328,0.18956299999999998,0.008426,10636,326,0,0,0,16,5
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2506,0,0.2113659381866455,0.198931,0.005958,10692,322,0,0,0,16,4
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2509,0,0.20186567306518555,0.18670299999999998,0.011085,10692,325,0,0,0,16,2
Manjaro GNOME 25.0.10,C,fannkuchredux,10,2512,0,0.21683120727539062,0.18423799999999999,0.01906,10652,328,0,0,0,14,2
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2515,0,29.390113592147827,29.368338,0.014464,10692,326,0,0,0,16,19
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2518,0,29.526053190231323,29.479605,0.025908,10692,329,0,0,0,16,409
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2521,0,29.15972113609314,28.302252,0.868892,10672,325,0,0,0,14,21
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2525,0,29.65945076942444,29.613604,0.040033,10568,328,0,0,0,16,418
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2529,0,29.712707996368408,29.703231,0.00535,10692,326,0,0,0,16,12
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2532,0,29.659366607666016,29.601296,0.050329,10688,328,0,0,0,16,54
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2535,0,29.84559440612793,29.813837,0.026487,10688,327,0,0,0,16,15
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2544,0,29.67292046546936,29.622824,0.037322999999999995,10568,326,0,0,0,16,77
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2547,0,29.912350177764893,29.864763,0.041174999999999996,10440,330,0,0,0,14,23
Manjaro GNOME 25.0.10,C,fannkuchredux,12,2585,0,29.598267078399658,29.561667,0.030302,10692,326,0,0,0,16,12
Manjaro GNOME 25.0.10,C,fasta,250000,2596,0,0.06708478927612305,0.050455,0.01245,10692,323,3,0,0,20,0
Manjaro GNOME 25.0.10,C,fasta,250000,2599,0,0.06636738777160645,0.047368,0.015175,10568,327,0,0,0,15,0
Manjaro GNOME 25.0.10,C,fasta,250000,2602,0,0.06670832633972168,0.055774,0.006109,10564,326,0,0,0,16,1
Manjaro GNOME 25.0.10,C,fasta,250000,2605,0,0.06619477272033691,0.052771,0.009857999999999999,10440,325,0,0,0,16,0
Manjaro GNOME 25.0.10,C,fasta,250000,2608,0,0.07152223587036133,0.048284,0.014721,10692,323,0,0,0,16,6
Manjaro GNOME 25.0.10,C,fasta,250000,2611,0,0.06738066673278809,0.06330899999999999,0.0,10692,326,0,0,0,16,0
Manjaro GNOME 25.0.10,C,fasta,250000,2614,0,0.06325316429138184,0.044211,0.016278,10564,327,0,0,0,15,0
Manjaro GNOME 25.0.10,C,fasta,250000,2617,0,0.06528663635253906,0.056497,0.005277,10440,324,0,0,0,16,5
Manjaro GNOME 25.0.10,C,fasta,250000,2620,0,0.07658553123474121,0.045648,0.021921,10692,326,0,0,0,16,4
Manjaro GNOME 25.0.10,C,fasta,250000,2623,0,0.06330060958862305,0.045285,0.014308999999999999,10692,326,0,0,0,15,0
Manjaro GNOME 25.0.10,C,fasta,25000000,2626,0,5.309662342071533,4.271956,1.026371,10440,324,0,0,0,16,133
Manjaro GNOME 25.0.10,C,fasta,25000000,2629,0,5.382569789886475,4.353668,1.024588,10692,325,0,0,0,14,11
Manjaro GNOME 25.0.10,C,fasta,25000000,2632,0,5.365132570266724,4.3159279999999995,1.04383,10692,326,0,0,0,15,5
Manjaro GNOME 25.0.10,C,fasta,25000000,2635,0,5.386511325836182,4.339531,1.040263,10692,326,0,0,0,16,5
Manjaro GNOME 25.0.10,C,fasta,25000000,2638,0,5.383926153182983,4.300836,1.077641,10688,325,0,0,0,16,7
Manjaro GNOME 25.0.10,C,fasta,25000000,2641,0,5.367197751998901,4.436199,0.9269989999999999,10568,323,0,0,0,16,6
Manjaro GNOME 25.0.10,C,fasta,25000000,2644,0,5.426077604293823,4.401666,1.018227,10432,323,0,0,0,16,9
Manjaro GNOME 25.0.10,C,fasta,25000000,2647,0,5.384509563446045,4.462514,0.91752,10692,325,0,0,0,16,6
Manjaro GNOME 25.0.10,C,fasta,25000000,2650,0,5.428796291351318,4.486182,0.931854,10692,324,0,0,0,16,212
Manjaro GNOME 25.0.10,C,fasta,25000000,2653,0,5.394551753997803,4.4405,0.9485319999999999,10692,322,0,0,0,16,4
Manjaro GNOME 25.0.10,C,mandelbrot,1000,2661,0,0.04168391227722168,0.025116,0.011989,10440,356,3,0,0,19,0
Manjaro GNOME 25.0.10,C,mandelbrot,1000,2664,0,0.03652167320251465,0.033016,0.0,10440,359,0,0,0,16,0
Manjaro GNOME 25.0.10,C,mandelbrot,1000,2667,0,0.03670358657836914,0.032311,0.0,10564,361,0,0,0,16,0
Manjaro GNOME 25.0.10,C,mandelbrot,1000,2670,0,0.041632890701293945,0.029911999999999998,0.008494999999999999,10440,360,0,0,0,15,0
Manjaro GNOME 25.0.10,C,mandelbrot,1000,2673,0,0.03944563865661621,0.030636,0.003675,10568,360,0,0,0,15,1
Manjaro GNOME 25.0.10,C,mandelbrot,1000,2676,0,0.03806900978088379,0.034027999999999996,0.0,10692,363,0,0,0,16,0
