os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Ubuntu Server 24.04.3,C,binarytrees,7,1830,0,0.006022930145263672,0.0036869999999999997,0.0,10496,137,4,0,0,19,0
Ubuntu Server 24.04.3,C,binarytrees,7,1835,0,0.0049021244049072266,0.003404,0.0,10496,142,0,0,0,14,0
Ubuntu Server 24.04.3,C,binarytrees,7,1840,0,0.004976749420166016,0.003433,0.0,10496,138,0,0,0,14,0
Ubuntu Server 24.04.3,C,binarytrees,7,1845,0,0.004908084869384766,0.0034639999999999996,0.0,10496,140,0,0,0,13,0
Ubuntu Server 24.04.3,C,binarytrees,7,1850,0,0.005294322967529297,0.002103,0.001583,10368,141,0,0,0,13,0
Ubuntu Server 24.04.3,C,binarytrees,7,1855,0,0.004994392395019531,0.0034509999999999996,0.0,10496,139,0,0,0,14,0
Ubuntu Server 24.04.3,C,binarytrees,7,1860,0,0.005924701690673828,0.001488,0.00281,10496,139,0,0,0,13,0
Ubuntu Server 24.04.3,C,binarytrees,7,1865,0,0.005676746368408203,0.002238,0.001671,10496,140,0,0,0,13,0
Ubuntu Server 24.04.3,C,binarytrees,7,1870,0,0.005049705505371094,0.0014249999999999998,0.0020239999999999998,10496,140,0,0,0,13,0
Ubuntu Server 24.04.3,C,binarytrees,7,1875,0,0.004914522171020508,0.003433,0.0,10496,139,0,0,0,14,0
Ubuntu Server 24.04.3,C,binarytrees,21,1880,0,6.547848463058472,19.553321,0.7907489999999999,351360,87539,0,0,0,40,48
Ubuntu Server 24.04.3,C,binarytrees,21,1892,0,6.187456846237183,15.11579,4.182231,351232,87540,0,0,0,32,22
Ubuntu Server 24.04.3,C,binarytrees,21,1904,0,6.7333409786224365,18.788351,0.461345,351360,87538,0,0,0,27,59
Ubuntu Server 24.04.3,C,binarytrees,21,1916,0,7.610459089279175,17.170232,1.512289,351360,87538,0,0,0,28,16
Ubuntu Server 24.04.3,C,binarytrees,21,1928,0,6.350391864776611,19.988461,0.36521899999999996,351232,87538,0,0,0,31,70
Ubuntu Server 24.04.3,C,binarytrees,21,1940,0,6.00621223449707,18.262135,1.1533,351104,87537,0,0,0,42,20
Ubuntu Server 24.04.3,C,binarytrees,21,1952,0,6.203980445861816,19.153257,0.349303,351360,87538,0,0,0,35,83
Ubuntu Server 24.04.3,C,binarytrees,21,1964,0,6.3343729972839355,16.220871,2.70322,351360,87535,0,0,0,41,10
Ubuntu Server 24.04.3,C,binarytrees,21,1976,0,6.733264923095703,20.021462,0.46935499999999997,351232,87538,0,0,0,24,47
Ubuntu Server 24.04.3,C,binarytrees,21,1988,0,6.997581243515015,16.917358,2.360372,351360,87538,0,0,0,33,30
Ubuntu Server 24.04.3,C,fannkuchredux,10,2006,0,0.1915574073791504,0.181779,0.007209999999999999,10496,124,3,0,0,16,0
Ubuntu Server 24.04.3,C,fannkuchredux,10,2009,0,0.19223928451538086,0.182662,0.007202999999999999,10496,128,0,0,0,12,0
Ubuntu Server 24.04.3,C,fannkuchredux,10,2012,0,0.18738889694213867,0.185353,0.0,10496,127,0,0,0,12,0
Ubuntu Server 24.04.3,C,fannkuchredux,10,2015,0,0.19197511672973633,0.17898999999999998,0.010754999999999999,10496,127,0,0,0,12,0
Ubuntu Server 24.04.3,C,fannkuchredux,10,2018,0,0.19089841842651367,0.183032,0.005664,10496,127,0,0,0,11,0
Ubuntu Server 24.04.3,C,fannkuchredux,10,2021,0,0.18926548957824707,0.180771,0.006403,10496,128,0,0,0,12,1
Ubuntu Server 24.04.3,C,fannkuchredux,10,2024,0,0.1940462589263916,0.18920299999999998,0.002607,10496,129,0,0,0,12,0
Ubuntu Server 24.04.3,C,fannkuchredux,10,2030,0,0.1903066635131836,0.18212799999999998,0.005817,10496,125,0,0,0,12,2
Ubuntu Server 24.04.3,C,fannkuchredux,10,2033,0,0.1941390037536621,0.18629199999999999,0.004984,10496,126,0,0,0,12,1
Ubuntu Server 24.04.3,C,fannkuchredux,10,2036,0,0.18994593620300293,0.187559,0.0,10496,127,0,0,0,12,0
Ubuntu Server 24.04.3,C,fannkuchredux,12,2039,0,28.754936695098877,28.701319,0.044211,10496,127,0,0,0,12,51
Ubuntu Server 24.04.3,C,fannkuchredux,12,2042,0,28.72493839263916,28.698968999999998,0.02315,10496,127,0,0,0,10,55
Ubuntu Server 24.04.3,C,fannkuchredux,12,2045,0,28.468512535095215,28.169909,0.296508,10496,127,0,0,0,11,25
