os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1603,0,0.2203807830810547,0.05389,0.07009699999999999,16056,8086,0,704,0,384,5
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1617,0,0.1979846954345703,0.060562,0.071987,16056,8248,0,0,0,359,19
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1631,0,0.1858065128326416,0.066861,0.050879,16196,8187,0,0,0,372,4
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1645,0,0.17303991317749023,0.059907999999999996,0.059907999999999996,16336,8150,0,0,0,355,5
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1659,0,0.15595102310180664,0.052425,0.043511999999999995,16384,8166,0,0,0,367,2
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1673,0,0.14352035522460938,0.041155,0.051724,16532,8229,0,0,0,361,2
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1687,0,0.14951086044311523,0.073715,0.050071,16532,8194,0,0,0,361,2
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1701,0,0.15247750282287598,0.053370999999999995,0.062001999999999995,16244,8192,0,0,0,365,3
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1715,0,0.15101909637451172,0.041661,0.057968,16280,8264,0,0,0,392,4
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1729,0,0.1448068618774414,0.039966,0.05687,16532,8250,0,0,0,358,0
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1743,0,17.340413808822632,88.054442,8.710876,276648,1311246,0,0,0,1062,522
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1760,0,17.308536291122437,89.979491,7.234178,276296,1318439,0,0,0,1096,636
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1776,0,17.819189310073853,90.65914,10.271493,276428,1317959,0,0,0,1079,471
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1790,0,17.827072143554688,93.470701,6.820073,276176,1318472,0,0,0,1014,657
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1804,0,18.467578172683716,98.231668,6.442143,276584,1311295,0,0,0,1030,572
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1818,0,19.2354474067688,100.563568,7.38972,276552,1311267,0,0,0,1092,591
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1832,0,17.956103324890137,91.303243,8.109748,276584,1311202,0,0,0,1082,803
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1851,0,17.25052309036255,89.674131,10.279363,276552,1311228,0,0,0,1107,466
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1865,0,17.805124282836914,91.641214,8.14418,276520,1318519,0,0,0,1011,560
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1880,0,17.79007649421692,92.368806,7.473631,276436,1311304,0,0,0,1055,516
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1894,0,7.143578767776489,7.116183,0.012098999999999999,10616,1203,0,0,0,49,14
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1897,0,7.039768934249878,6.996157,0.027302,10616,1200,0,0,0,47,134
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1903,0,6.994975328445435,6.959941,0.022650999999999998,10616,1204,0,0,0,48,15
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1906,0,7.130452871322632,7.089493,0.019136,10616,1199,0,0,0,47,11
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1910,0,7.044647693634033,7.022045,0.003806,10616,1204,0,0,0,48,9
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1914,0,6.862695217132568,6.831111,0.019466999999999998,10604,1199,0,0,0,44,8
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1917,0,6.838617324829102,6.797514,0.024082,10616,1205,0,0,0,44,16
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1921,0,6.956177234649658,6.90902,0.021848,10616,1204,0,0,0,48,224
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1924,0,6.815420150756836,6.788187,0.013123,10616,1199,0,0,0,46,4
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,10,1927,0,6.770403623580933,6.741428,0.009545999999999999,10744,1202,0,0,0,46,230
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,1930,0,1181.455764055252,1181.392303,0.06285299999999999,10616,1204,0,0,0,48,306
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,2138,0,1160.3312571048737,1159.933097,0.381262,10616,1205,0,0,0,48,318
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,2264,0,1155.0725104808807,1154.863381,0.19911299999999998,10616,1200,0,0,0,48,329
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,2315,0,1167.560133934021,1167.302069,0.194096,10616,1199,0,0,0,44,1497
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,2340,0,1159.4756789207458,1159.330266,0.17224199999999998,10616,1205,0,0,0,48,310
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,2365,0,1165.8374152183533,1165.682638,0.1653,10744,1203,0,0,0,48,312
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,2391,0,1161.4007003307343,1161.289942,0.106871,10744,1203,0,0,0,46,302
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,2417,0,1241.488389968872,1240.993146,0.507104,10616,1203,0,0,0,48,327
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,2446,0,1176.601676940918,1176.29318,0.273779,10616,1201,0,0,0,48,452
Manjaro GNOME 25.0.10 Minimal,Python 3,fannkuchredux,12,2473,0,1175.5188791751862,1173.573516,1.952745,10744,1203,0,0,0,47,546
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,4979,0,0.8867850303649902,0.741973,0.131334,10872,1210,0,0,0,48,3
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,4982,0,0.9032342433929443,0.853688,0.035789,10740,1208,0,0,0,44,6
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,4985,0,0.9082133769989014,0.8858349999999999,0.008558,10872,1206,0,0,0,48,5
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,4988,0,0.9358329772949219,0.8974909999999999,0.024078,10872,1207,0,0,0,48,7
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,4991,0,0.8714818954467773,0.842472,0.014974999999999999,10872,1207,0,0,0,48,4
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,4994,0,0.8834950923919678,0.8654689999999999,0.005037,10872,1210,0,0,0,47,2
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,4997,0,0.9006094932556152,0.887745,0.0,10680,1203,0,0,0,48,0
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,5000,0,0.9142444133758545,0.888234,0.011939,10868,1209,0,0,0,47,9
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,5003,0,0.8995232582092285,0.8767499999999999,0.010839,10872,1208,0,0,0,48,1
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,250000,5006,0,0.892636775970459,0.867663,0.012544999999999999,10872,1211,0,0,0,48,3
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5009,0,87.11768889427185,87.044053,0.040215999999999995,10872,1206,0,0,0,48,513
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5012,0,87.64030146598816,87.549986,0.051684999999999995,10744,1208,0,0,0,48,347
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5018,0,85.89212226867676,85.845265,0.036257,10872,1209,0,0,0,46,30
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5023,0,86.48739576339722,86.431442,0.04312,10872,1207,0,0,0,46,31
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5026,0,86.9609923362732,86.648216,0.297351,10684,1209,0,0,0,44,30
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5031,0,91.93634963035583,91.480275,0.44149099999999997,10744,1208,0,0,0,47,33
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5038,0,87.30466485023499,87.224561,0.047695999999999995,10872,1208,0,0,0,42,550
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5043,0,86.47600197792053,86.128837,0.33210999999999996,10740,1210,0,0,0,45,30
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5047,0,86.70223712921143,86.653958,0.0354,10848,1210,0,0,0,47,28
Manjaro GNOME 25.0.10 Minimal,Python 3,fasta,25000000,5052,0,89.79809093475342,89.71286,0.070532,10872,1209,0,0,0,47,28
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5057,0,3.8549036979675293,3.825596,0.017067,10616,1191,0,0,0,49,6
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5060,0,3.908149480819702,3.896347,0.001008,10872,1193,0,0,0,48,4
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5063,0,3.968656063079834,3.938265,0.014659,10872,1197,0,0,0,48,8
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5066,0,3.984408378601074,3.958546,0.014485999999999999,10872,1194,0,0,0,45,3
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5069,0,3.935495138168335,3.914937,0.006299,10872,1194,0,0,0,47,6
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5072,0,4.05478310585022,3.723743,0.317219,10744,1192,0,0,0,46,7
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5075,0,3.877861976623535,3.846473,0.016842,10744,1193,0,0,0,46,6
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5078,0,3.8710789680480957,3.770614,0.085214,10744,1194,0,0,0,48,4
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5081,0,3.863349199295044,3.229846,0.6203569999999999,10556,1194,0,0,0,47,3
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,1000,5084,0,3.8802032470703125,3.858806,0.01243,10872,1192,0,0,0,47,9
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5087,0,976.7193675041199,976.526438,0.16136799999999998,10740,1192,0,0,0,46,1367
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5146,0,978.0456340312958,977.8526,0.17218999999999998,10744,1191,0,0,0,48,261
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5210,0,978.1361665725708,977.680418,0.439977,10740,1192,0,0,0,48,899
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5234,0,988.3408246040344,987.578312,0.753707,10736,1194,0,0,0,43,313
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5259,0,998.5591471195221,998.395516,0.15820199999999998,10744,1191,0,0,0,46,396
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5282,0,994.149998664856,993.972071,0.158855,10872,1190,0,0,0,48,311
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5305,0,992.6771354675293,992.176816,0.35459799999999997,10744,1194,0,0,0,48,4053
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5327,0,989.830899477005,989.657249,0.15757,10872,1196,0,0,0,47,266
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5391,0,1025.284169435501,1024.965688,0.326001,10744,1193,0,0,0,46,342
Manjaro GNOME 25.0.10 Minimal,Python 3,mandelbrot,16000,5529,0,984.1306710243225,983.939658,0.160263,10612,1192,0,0,0,48,932
