os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1942,0,0.16913795471191406,0.049847999999999996,0.046858,16408,8134,0,672,0,393,4
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1956,0,0.14986824989318848,0.041698,0.059868,16460,8132,0,0,0,363,0
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1970,0,0.16084074974060059,0.057345999999999994,0.046211999999999996,16252,8143,0,0,0,377,4
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1984,0,0.15870380401611328,0.026751999999999998,0.075719,16404,8132,0,0,0,346,5
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,1998,0,0.14313840866088867,0.040097,0.051833,16532,8144,0,0,0,360,6
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2012,0,0.14126181602478027,0.048860999999999995,0.050487,16380,8133,0,0,0,361,4
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2026,0,0.15224504470825195,0.024707999999999997,0.066519,16532,8151,0,0,0,370,3
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2040,0,0.14382410049438477,0.039469,0.054237,16280,8146,0,0,0,383,0
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2054,0,0.14841580390930176,0.043835,0.051338999999999996,16512,8149,0,0,0,375,0
Manjaro GNOME 25.0.10,Python 3,binarytrees,7,2068,0,0.1470811367034912,0.049957999999999995,0.043446,16272,8139,0,0,0,368,1
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2082,0,18.768964290618896,82.792413,11.007405,276520,1318504,0,0,0,1065,839
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2097,0,17.333863019943237,85.597516,8.721839,276544,1318505,0,0,0,1098,597
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2111,0,17.013636112213135,87.1522,9.210386,276772,1318546,0,0,0,1063,606
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2128,0,17.359891176223755,91.049228,7.710382,276328,1323194,0,0,0,1049,571
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2145,0,16.703325986862183,89.648801,7.756924,276496,1318536,0,0,0,1037,448
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2159,0,17.080674171447754,91.276724,7.432761,276336,1311334,0,0,0,1084,755
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2174,0,17.901874542236328,90.480677,7.468285,276460,1311332,0,0,0,1046,555
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2189,0,16.955355644226074,88.526866,10.375743,276464,1311323,0,0,0,1060,444
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2203,0,17.761732816696167,91.00643,7.307826,276520,1318535,0,0,0,1078,380
Manjaro GNOME 25.0.10,Python 3,binarytrees,21,2217,0,17.66048812866211,91.584078,6.301119,276172,1310275,0,0,0,1073,594
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,10,2231,0,7.13689398765564,7.11291,0.012249,10616,1201,0,0,0,49,11
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,10,2234,0,6.867013454437256,6.842925,0.0038529999999999997,10680,1199,0,0,0,47,11
