os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2381,0,0.1284809112548828,0.029099999999999997,0.065958,14532,7881,1,512,0,320,0
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2395,0,0.11260151863098145,0.030553,0.056444999999999995,14360,7919,0,0,0,319,0
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2409,0,0.11389493942260742,0.034325,0.053942,14528,7909,0,0,0,307,0
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2423,0,0.10034608840942383,0.034906,0.059951,14532,7867,0,0,0,317,2
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2437,0,0.11200070381164551,0.031459,0.056833999999999996,14324,7871,0,0,0,318,0
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2451,0,0.11011791229248047,0.031928,0.051851999999999995,14512,7904,0,0,0,315,0
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2465,0,0.10364913940429688,0.036662,0.071681,14592,7904,0,0,0,332,1
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2479,0,0.11670541763305664,0.018972,0.08476399999999999,14384,7825,0,0,0,320,1
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2493,0,0.1203923225402832,0.052074999999999996,0.051294,14380,7785,0,0,0,310,1
Ubuntu Desktop 24.04.3,Python 3,binarytrees,7,2507,0,0.1144094467163086,0.034388,0.060502999999999994,14592,7860,0,0,0,309,0
Ubuntu Desktop 24.04.3,Python 3,binarytrees,21,2521,0,16.476356267929077,86.335061,9.871035,275204,1255686,0,0,0,1005,340
Ubuntu Desktop 24.04.3,Python 3,binarytrees,21,2535,0,16.27659583091736,76.307311,19.803317,275084,1263545,0,0,0,1034,227
Ubuntu Desktop 24.04.3,Python 3,binarytrees,21,2549,0,16.30178999900818,91.606255,7.075193,275208,1255709,0,0,0,1005,370
Ubuntu Desktop 24.04.3,Python 3,binarytrees,21,2563,0,16.41211438179016,88.502785,9.917657,275212,1255754,0,0,0,998,273
