os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1643,0,0.099761962890625,0.021108,0.056506,14592,7768,0,0,0,294,2
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1657,0,0.09950852394104004,0.039476,0.038541,14592,7711,0,0,0,282,0
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1671,0,0.09864592552185059,0.038709,0.039353,14720,7767,0,0,0,287,0
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1685,0,0.09937715530395508,0.044656,0.031508999999999995,14720,7741,0,0,0,282,0
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1699,0,0.08636093139648438,0.07026299999999999,0.011597,14592,7760,0,0,0,302,0
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1713,0,0.09800601005554199,0.053954999999999996,0.027993999999999998,14464,7779,0,0,0,265,0
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1727,0,0.10335493087768555,0.051515,0.030137999999999998,14464,7698,0,0,0,280,0
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1741,0,0.10079383850097656,0.044593,0.03354,14464,7769,0,0,0,298,0
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1755,0,0.09886646270751953,0.054021,0.020333999999999998,14592,7773,0,0,0,291,0
Ubuntu Server 24.04.3,Python 3,binarytrees,7,1769,0,0.0999603271484375,0.052843999999999995,0.024317,14464,7794,0,0,0,282,0
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1783,0,46.63150238990784,294.737334,48.903172,275328,1263484,0,0,0,1042,338
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1797,0,47.53565216064453,313.870429,34.406128,275200,1263482,0,0,0,1035,819
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1816,0,46.66859555244446,310.978029,30.428225,275200,1263591,0,0,0,996,998
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1830,0,48.5663115978241,322.412595,30.731937,275200,1263521,0,0,0,993,980
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1844,0,47.16987347602844,311.251014,33.017661,275200,1263479,0,0,0,991,869
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1859,0,21.499425172805786,124.337843,11.189003,275328,1263526,0,0,0,1026,292
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1873,0,23.549448490142822,134.3392,12.056663,275200,1263552,0,0,0,1092,476
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1887,0,21.17692255973816,121.040569,12.985413,275200,1264121,0,0,0,1060,339
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1901,0,21.03429675102234,122.674534,10.764538,275328,1263515,0,0,0,1084,312
Ubuntu Server 24.04.3,Python 3,binarytrees,21,1915,0,21.367344617843628,121.271576,13.933901,275200,1263565,0,0,0,1082,332
Ubuntu Server 24.04.3,Python 3,fannkuchredux,10,1929,0,6.590059518814087,6.532268,0.045344999999999996,10752,1208,0,0,0,44,8
Ubuntu Server 24.04.3,Python 3,fannkuchredux,10,1932,0,6.3699376583099365,6.340831,0.017755999999999997,10752,1208,0,0,0,45,10
Ubuntu Server 24.04.3,Python 3,fannkuchredux,10,1935,0,6.247961044311523,6.225459,0.011909999999999999,10752,1207,0,0,0,45,13
Ubuntu Server 24.04.3,Python 3,fannkuchredux,10,1938,0,6.310525417327881,6.284731,0.014888,10752,1206,0,0,0,45,8
